Random Walk,Bias Instability
0.0009632344285134105,0.000391012174441292
Tau,AllanDev,AllanDevError,AllanDevN
0.01,0.008028463267661616,4.344238620616695e-06,3415368.0
0.02,0.006420194529305762,3.4739979822428577e-06,3415366.0
0.03,0.005539480194244762,2.997440118709468e-06,3415364.0
0.04,0.004805844434971437,2.600466943884271e-06,3415362.0
0.05,0.0042318368408311305,2.2898691764859782e-06,3415360.0
0.06,0.00382941473389186,2.072117064153235e-06,3415358.0
0.07,0.003546190278403392,1.9188633383255217e-06,3415356.0
0.08,0.00333933079617882,1.8069310478073068e-06,3415354.0
0.09,0.0031656773046612615,1.712966649040726e-06,3415352.0
0.1,0.0030083574712261646,1.627840436501442e-06,3415350.0
0.11,0.0028754937868311855,1.5559475482602154e-06,3415348.0
0.12,0.002758073457634721,1.492411115785324e-06,3415346.0
0.13,0.0026486529455596527,1.4332033993716747e-06,3415344.0
0.14,0.0025517454886225897,1.3807665460900137e-06,3415342.0
0.15,0.0024655557730255827,1.3341291053029427e-06,3415340.0
0.16,0.002385703555379814,1.2909209017305328e-06,3415338.0
0.17,0.0023140643537535124,1.2521567946437552e-06,3415336.0
0.18,0.002253378504211264,1.2193196038506597e-06,3415334.0
0.19,0.0021991707181440085,1.1899877224218982e-06,3415332.0
0.2,0.0021467047729477277,1.161598347214518e-06,3415330.0
0.21,0.002094540779715696,1.1333723439442863e-06,3415328.0
0.22,0.002043936061452656,1.105990060233261e-06,3415326.0
0.23,0.001997306621503675,1.080758815832138e-06,3415324.0
0.24,0.0019549015664816808,1.057813406278944e-06,3415322.0
0.25,0.001917378800100151,1.037509830826545e-06,3415320.0
0.26,0.001884042277527397,1.0194714559596596e-06,3415318.0
0.27,0.0018509853128944299,1.0015843417759103e-06,3415316.0
0.28,0.0018174621037095042,9.834449280388245e-07,3415314.0
0.29,0.0017848520217128966,9.657996050766985e-07,3415312.0
0.3,0.001754061370307166,9.49138782452087e-07,3415310.0
0.31,0.001725997369148025,9.339533660950867e-07,3415308.0
0.32,0.001699713635586111,9.197312606232195e-07,3415306.0
0.33,0.0016749184710206032,9.063146259412196e-07,3415304.0
0.34,0.0016514195750489261,8.935994071136175e-07,3415302.0
0.35,0.001628167035791588,8.810174869251141e-07,3415300.0
0.36,0.0016053907141890156,8.686932455858209e-07,3415298.0
0.37,0.0015835985883825023,8.569015555420032e-07,3415296.0
0.38,0.0015630679094963968,8.457924407529066e-07,3415294.0
0.39,0.001543205282570347,8.350448094869579e-07,3415292.0
0.4,0.0015241193116371662,8.247174288773922e-07,3415290.0
0.41,0.0015066175455678739,8.152472728416345e-07,3415288.0
0.42,0.0014896469760290183,8.060645476111552e-07,3415286.0
0.43,0.0014726743134760773,7.968806844497834e-07,3415284.0
0.44,0.0014558500814664378,7.877771333753434e-07,3415282.0
0.45,0.0014394483232523774,7.78902182440542e-07,3415280.0
0.46,0.0014240320578326941,7.705604880455312e-07,3415278.0
0.47,0.0014093390453115738,7.626101495265417e-07,3415276.0
0.48,0.0013953245752565983,7.550269738725564e-07,3415274.0
0.49,0.001382025409197135,7.478308535192906e-07,3415272.0
0.5,0.0013687641944455688,7.406552648749317e-07,3415270.0
0.51,0.0013554649837643324,7.334591119542312e-07,3415268.0
0.52,0.0013425095601617594,7.264489823762787e-07,3415266.0
0.53,0.0013303627432184916,7.198763961597064e-07,3415264.0
0.54,0.0013188511853435092,7.136475530496828e-07,3415262.0
0.55,0.0013075113078300006,7.075116047988195e-07,3415260.0
0.56,0.0012964300755260588,7.015156093282018e-07,3415258.0
0.57,0.0012855887450461596,6.956494244618349e-07,3415256.0
0.58,0.0012748932225071033,6.898621348284375e-07,3415254.0
0.59,0.001264258730367625,6.841078661984326e-07,3415252.0
0.6,0.001253806262171555,6.784520898982272e-07,3415250.0
0.61,0.0012438527050570663,6.7306627812338e-07,3415248.0
0.62,0.0012341711952928523,6.678276719038021e-07,3415246.0
0.63,0.001224710556906223,6.627085793104885e-07,3415244.0
0.64,0.0012157503059524245,6.578602506691851e-07,3415242.0
0.65,0.0012071529619463372,6.532082934970888e-07,3415240.0
0.66,0.0011985917056655442,6.485758612075879e-07,3415238.0
0.67,0.0011899219018039367,6.438846894720637e-07,3415236.0
0.68,0.001181426980926814,6.392881468378849e-07,3415234.0
0.69,0.0011732456319806573,6.348612801130037e-07,3415232.0
0.7,0.0011653183484538403,6.305718895471618e-07,3415230.0
0.71,0.001157636784577217,6.264154592342608e-07,3415228.0
0.73,0.0011428213336488603,6.183989480180243e-07,3415224.0
0.74,0.0011354469852915205,6.144087497820329e-07,3415222.0
0.75,0.0011280462751449326,6.1040428441417e-07,3415220.0
0.76,0.001120947642003118,6.065632755557609e-07,3415218.0
0.77,0.0011141370233333794,6.0287811387955e-07,3415216.0
0.79,0.00110114044786144,5.958457991994279e-07,3415212.0
0.8,0.0010947886708205239,5.924089182195604e-07,3415210.0
0.81,0.0010885038922197835,5.890082892422301e-07,3415208.0
0.83,0.00107581535071803,5.82142640812096e-07,3415204.0
0.84,0.0010698168101188738,5.788968943128385e-07,3415202.0
0.85,0.0010640680087475377,5.75786284288276e-07,3415200.0
0.87,0.0010529766713493886,5.697848963677106e-07,3415196.0
0.88,0.001047552528789493,5.668499598029365e-07,3415194.0
0.9,0.001036640929012736,5.609458207706396e-07,3415190.0
0.91,0.0010312961462655757,5.580538221331995e-07,3415188.0
0.93,0.0010210479204040932,5.525086371280947e-07,3415184.0
0.94,0.0010161157894215689,5.498399273393531e-07,3415182.0
0.96,0.0010065792634884826,5.446798474897191e-07,3415178.0
0.97,0.0010018236156606752,5.421066316003996e-07,3415176.0
0.99,0.0009922338065269064,5.369177100757259e-07,3415172.0
1.0,0.0009876073735448916,5.344144104310209e-07,3415170.0
1.02,0.0009788327385595564,5.296665873918844e-07,3415166.0
1.04,0.0009704276605910476,5.251187338346451e-07,3415162.0
1.05,0.0009661696827454651,5.228148059207169e-07,3415160.0
1.07,0.0009577187852757716,5.182421504425651e-07,3415156.0
1.09,0.0009498269261460945,5.139719974072205e-07,3415152.0
1.11,0.0009422229590368566,5.098576240924171e-07,3415148.0
1.12,0.0009384591836451147,5.078211109136444e-07,3415146.0
1.14,0.0009308954830112931,5.037285194798236e-07,3415142.0
1.16,0.0009237016549194481,4.998360697358275e-07,3415138.0
