Random Walk,Bias Instability
0.0011416256900198065,0.00024125798052682134
Tau,AllanDev,AllanDevError,AllanDevN
0.01,0.010361444482570844,5.6066255503552265e-06,3415368.0
0.02,0.0077249907024131564,4.180029435327729e-06,3415366.0
0.03,0.006488573629790781,3.510999268729553e-06,3415364.0
0.04,0.005692376330123311,3.080173875566346e-06,3415362.0
0.05,0.005108229564823243,2.7640898897713188e-06,3415360.0
0.06,0.004668458330861543,2.526128101260841e-06,3415358.0
0.07,0.004319899828126901,2.3375218910034173e-06,3415356.0
0.08,0.004040310345036781,2.186235102427711e-06,3415354.0
0.09,0.0038093255791579518,2.0612485242343877e-06,3415352.0
0.1,0.0036101252661151356,1.9534606326629404e-06,3415350.0
0.11,0.0034421309680238857,1.8625584464883956e-06,3415348.0
0.12,0.00329723295506505,1.78415375408195e-06,3415346.0
0.13,0.0031700897386517713,1.715356252077404e-06,3415344.0
0.14,0.003056258451982152,1.6537618839799407e-06,3415342.0
0.15,0.0029529117133579217,1.5978407405265809e-06,3415340.0
0.16,0.0028604359357619767,1.5478019174718438e-06,3415338.0
0.17,0.0027767563831979027,1.5025227654762215e-06,3415336.0
0.18,0.002700851167270589,1.4614503374295144e-06,3415334.0
0.19,0.0026306900401873922,1.4234860547627447e-06,3415332.0
0.2,0.002565008443887221,1.3879456581816758e-06,3415330.0
0.21,0.0025041128160547075,1.3549949656354183e-06,3415328.0
0.22,0.0024462470083923076,1.323683713586611e-06,3415326.0
0.23,0.0023919246823737366,1.2942898498657714e-06,3415324.0
0.24,0.002341019980218225,1.2667452734709915e-06,3415322.0
0.25,0.002292951575837284,1.2407354255800366e-06,3415320.0
0.26,0.002248396491481106,1.21662665009464e-06,3415318.0
0.27,0.00220628354919716,1.193839324925908e-06,3415316.0
0.28,0.002167048983395969,1.1726095015586054e-06,3415314.0
0.29,0.0021305951657998724,1.1528843538149837e-06,3415312.0
0.3,0.0020957376002739853,1.134022941235389e-06,3415310.0
0.31,0.0020627609552764836,1.116179301351395e-06,3415308.0
0.32,0.002030551660946056,1.0987508717834686e-06,3415306.0
0.33,0.001999565088870055,1.0819840588778683e-06,3415304.0
0.34,0.0019699177575118283,1.0659419125045822e-06,3415302.0
0.35,0.0019417558525261693,1.0507035358218108e-06,3415300.0
0.36,0.0019153828125925538,1.0364331232916435e-06,3415298.0
0.37,0.0018900806548268307,1.0227421678086e-06,3415296.0
0.38,0.0018658249530555907,1.0096174526230355e-06,3415294.0
0.39,0.001842204570548945,9.96836507770263e-07,3415292.0
0.4,0.0018192558340949874,9.844189903698261e-07,3415290.0
0.41,0.001797571840047235,9.726858316807032e-07,3415288.0
0.42,0.0017764282992995342,9.612451114126512e-07,3415286.0
0.43,0.0017560709244161087,9.502297876629628e-07,3415284.0
0.44,0.0017364203005504303,9.395968885233772e-07,3415282.0
0.45,0.0017172467191372174,9.292221163609807e-07,3415280.0
0.46,0.0016989246946360632,9.193081255795545e-07,3415278.0
0.47,0.001681044512711991,9.096332152754953e-07,3415276.0
0.48,0.0016637996793917346,9.003020941061365e-07,3415274.0
0.49,0.0016472105960527459,8.913258018083463e-07,3415272.0
0.5,0.001630963606533411,8.825346154584956e-07,3415270.0
0.51,0.0016153788913525866,8.741017889157631e-07,3415268.0
0.52,0.0016002203498920928,8.658995654502871e-07,3415266.0
0.53,0.0015855410920227627,8.579566836990229e-07,3415264.0
0.54,0.00157132890699224,8.502665364926447e-07,3415262.0
0.55,0.0015572248547219701,8.426348968449587e-07,3415260.0
0.56,0.0015433417039671046,8.351227854851986e-07,3415258.0
0.57,0.0015296160190008269,8.276958765902405e-07,3415256.0
0.58,0.001516323840550399,8.20503539642533e-07,3415254.0
