Random Walk,Bias Instability
0.000740929356813754,0.00017206096063591956
Tau,AllanDev,AllanDevError,AllanDevN
0.01,0.006445465100160217,3.4876709878886426e-06,3415368.0
0.02,0.004968947194291918,2.68872110464043e-06,3415366.0
0.03,0.004177759936508919,2.260606555293632e-06,3415364.0
0.04,0.00358249779087126,1.9385078330681558e-06,3415362.0
0.05,0.0031996040648341866,1.7313225912519094e-06,3415360.0
0.06,0.0029294695150179715,1.5851518294066444e-06,3415358.0
0.07,0.0027322082061116784,1.4784130990681884e-06,3415356.0
0.08,0.002569368342589052,1.3902999477589777e-06,3415354.0
0.09,0.0024213576807739184,1.3102109133034778e-06,3415352.0
0.1,0.0023016236136549177,1.245422468489742e-06,3415350.0
0.11,0.002193425388689942,1.1868761015772583e-06,3415348.0
0.12,0.002108951508491882,1.141167094448851e-06,3415346.0
0.13,0.0020251701127579217,1.095832768417791e-06,3415344.0
0.14,0.0019533910102229645,1.056992936942453e-06,3415342.0
0.15,0.001887965160890944,1.0215908715184542e-06,3415340.0
0.16,0.0018303813358023129,9.904321596018575e-07,3415338.0
0.17,0.0017788532209438573,9.62550217614232e-07,3415336.0
0.18,0.0017291237957843542,9.356415434620922e-07,3415334.0
0.19,0.0016828490286754764,9.106021948598441e-07,3415332.0
0.2,0.0016408339605532257,8.878677872481208e-07,3415330.0
0.21,0.0016037192694407848,8.677849985243235e-07,3415328.0
0.22,0.0015682149408739192,8.485735780223772e-07,3415326.0
0.23,0.0015344432420373113,8.302996862731925e-07,3415324.0
0.24,0.0015003122540906974,8.118313695139152e-07,3415322.0
0.25,0.001471550680901948,7.962684775254217e-07,3415320.0
0.26,0.0014437972730615986,7.812511033512571e-07,3415318.0
0.27,0.0014189749920881034,7.678197787667154e-07,3415316.0
0.28,0.0013925440877084086,7.535180058676921e-07,3415314.0
0.29,0.001367500135040951,7.399667167350916e-07,3415312.0
0.3,0.0013447160617395002,7.276382612312413e-07,3415310.0
0.31,0.001323745143968389,7.162909139725769e-07,3415308.0
0.32,0.0013049353387574924,7.061129586886887e-07,3415306.0
0.33,0.0012843153594708652,6.949554946994682e-07,3415304.0
0.34,0.0012652020379173585,6.846132915242916e-07,3415302.0
0.35,0.00124635685618253,6.744161754337193e-07,3415300.0
0.36,0.001229893431571814,6.655078463790158e-07,3415298.0
0.37,0.0012136426954695385,6.567146000567427e-07,3415296.0
0.38,0.0011976407546748725,6.480559743357386e-07,3415294.0
