Random Walk,Bias Instability
0.0007444623331998593,0.00012677194814731912
Tau,AllanDev,AllanDevError,AllanDevN
0.01,0.0061697733053589325,3.3384928821374397e-06,3415368.0
0.02,0.004765408903210159,2.578585561348153e-06,3415366.0
0.03,0.00402524498211717,2.178079959482001e-06,3415364.0
0.04,0.0035376941366136914,1.914264347154588e-06,3415362.0
0.05,0.0031941604838310192,1.7283770409347074e-06,3415360.0
0.06,0.0029342493276990444,1.587738211950235e-06,3415358.0
0.07,0.0027285708093131946,1.476444883373148e-06,3415356.0
0.08,0.002561660757222594,1.3861293291074158e-06,3415354.0
0.09,0.002420706873595375,1.3098587577031076e-06,3415352.0
0.1,0.0023016586230260195,1.2454414122723478e-06,3415350.0
0.11,0.002196992804067473,1.1888064521958946e-06,3415348.0
0.12,0.0021066712030181727,1.1399332066323648e-06,3415346.0
0.13,0.002025452581235916,1.095985613955201e-06,3415344.0
0.14,0.001954459257271164,1.0575709725630467e-06,3415342.0
0.15,0.001889638350735481,1.022496245996175e-06,3415340.0
0.16,0.0018316324507073375,9.911091466389606e-07,3415338.0
0.17,0.0017783658838909913,9.622865160447236e-07,3415336.0
0.18,0.0017297303575374882,9.359697584668773e-07,3415334.0
0.19,0.0016851120613727059,9.118267387767507e-07,3415332.0
0.2,0.0016435975829319392,8.89363204423269e-07,3415330.0
0.21,0.0016054528295545002,8.687230414158621e-07,3415328.0
0.22,0.0015694060395162418,8.492180909716864e-07,3415326.0
0.23,0.0015362094257138532,8.312553825885456e-07,3415324.0
0.24,0.0015046749117138152,8.141920396365776e-07,3415322.0
0.25,0.0014755538862471578,7.984346456817901e-07,3415320.0
0.26,0.0014477029530108995,7.833645003126308e-07,3415318.0
0.27,0.0014214948489757635,7.691832953676386e-07,3415316.0
0.28,0.0013964420128809633,7.556272078879157e-07,3415314.0
0.29,0.001372828747587904,7.428500772775051e-07,3415312.0
0.3,0.001350298514954961,7.306589781444075e-07,3415310.0
0.31,0.0013287976694191298,7.190248828860577e-07,3415308.0
0.32,0.0013085037566722831,7.080438636590834e-07,3415306.0
0.33,0.0012888780381208173,6.974244043601287e-07,3415304.0
0.34,0.0012703207848964203,6.87383095960889e-07,3415302.0
0.35,0.0012521976107649217,6.775766662253925e-07,3415300.0
0.36,0.0012351099940870257,6.68330581419208e-07,3415298.0
0.37,0.0012185214172990477,6.593545268383352e-07,3415296.0
0.38,0.0012028030921079414,6.508493692682161e-07,3415294.0
0.39,0.0011875111239406204,6.425749130426758e-07,3415292.0
0.4,0.0011729127053170913,6.346757391241689e-07,3415290.0
0.41,0.001158870205907681,6.270773745619427e-07,3415288.0
0.42,0.0011452867252124143,6.197273856818965e-07,3415286.0
0.43,0.001132238402931908,6.126669727531477e-07,3415284.0
0.44,0.0011194687683384456,6.057573567853784e-07,3415282.0
0.45,0.0011072852613347372,5.991648972080932e-07,3415280.0
0.46,0.0010953413286525914,5.927020702522302e-07,3415278.0
0.47,0.0010839269850751925,5.865258064863307e-07,3415276.0
0.48,0.0010727115323804482,5.804571613615121e-07,3415274.0
0.49,0.0010619936010415568,5.746577275741298e-07,3415272.0
0.5,0.0010514236949304135,5.689383886754154e-07,3415270.0
0.51,0.0010412489421304592,5.634328688427942e-07,3415268.0
0.52,0.001031358747693297,5.580813239321692e-07,3415266.0
0.53,0.0010217790098094323,5.528977679228679e-07,3415264.0
0.54,0.0010124701229372653,5.478607698880717e-07,3415262.0
0.55,0.0010033225743031695,5.429110711510671e-07,3415260.0
0.56,0.0009945380899862254,5.381578284611225e-07,3415258.0
0.57,0.0009858521400520782,5.334579012723639e-07,3415256.0
0.58,0.0009774794238808138,5.289274663984907e-07,3415254.0
0.59,0.0009692074042553286,5.244515171637637e-07,3415252.0
0.6,0.0009612827285158655,5.20163517938645e-07,3415250.0
0.61,0.0009534816417564008,5.159423919462455e-07,3415248.0
0.62,0.0009459433616005576,5.118634718910747e-07,3415246.0
0.63,0.0009385461922185221,5.078609065260398e-07,3415244.0
0.64,0.0009313441034901473,5.03963899808611e-07,3415242.0
0.65,0.0009243131290619694,5.001594832837459e-07,3415240.0
0.66,0.0009174174485955721,4.964282741130318e-07,3415238.0
0.67,0.0009107258784089604,4.928075099084507e-07,3415236.0
0.68,0.0009041064523065409,4.89225781847137e-07,3415234.0
0.69,0.0008977164866054586,4.857682162453477e-07,3415232.0
0.7,0.0008913561799061008,4.823266975661063e-07,3415230.0
0.71,0.0008852511131944154,4.790232912405623e-07,3415228.0
0.73,0.0008732802475566102,4.725459444213151e-07,3415224.0
0.74,0.000867437699894712,4.693845856390001e-07,3415222.0
0.75,0.0008617346314306856,4.6629869948001403e-07,3415220.0
0.76,0.0008561406860365409,4.632718598086279e-07,3415218.0
0.77,0.0008506566915190667,4.603045146167602e-07,3415216.0
0.79,0.0008399990661746345,4.5453776208444116e-07,3415212.0
0.8,0.0008348483793483751,4.517507702344524e-07,3415210.0
0.81,0.000829726467215657,4.489793472369277e-07,3415208.0
0.83,0.0008198435139767043,4.436317700435546e-07,3415204.0
0.84,0.000815049379502359,4.4103770855226504e-07,3415202.0
0.85,0.0008102897981850655,4.3846234287490086e-07,3415200.0
0.87,0.0008011266215008581,4.3350423749114494e-07,3415196.0
0.88,0.0007966584437771922,4.310865511952939e-07,3415194.0
0.9,0.0007879420772646733,4.2637021448872833e-07,3415190.0
0.91,0.0007837298935064306,4.2409104714978806e-07,3415188.0
0.93,0.000775446246071737,4.196088548063753e-07,3415184.0
0.94,0.0007713670260682126,4.174016327477373e-07,3415182.0
0.96,0.0007634718748397737,4.131296554920297e-07,3415178.0
0.97,0.0007596166834676983,4.110436559339585e-07,3415176.0
0.99,0.000752061074315143,4.069554042628028e-07,3415172.0
1.0,0.0007483943467601767,4.049713826641139e-07,3415170.0
1.02,0.0007412103895612496,4.010842323848459e-07,3415166.0
1.04,0.0007342499842272815,3.9731804614957524e-07,3415162.0
1.05,0.0007308098640766168,3.95456640873319e-07,3415160.0
1.07,0.0007241611334767583,3.91859101909395e-07,3415156.0
1.09,0.0007177124987818529,3.8836983497591177e-07,3415152.0
1.11,0.000711452067300676,3.8498240486556855e-07,3415148.0
1.12,0.000708372952113555,3.833163399672336e-07,3415146.0
1.14,0.0007023534326283965,3.80059266830906e-07,3415142.0
1.16,0.0006965081481916463,3.768964724453715e-07,3415138.0
1.18,0.0006908107506045623,3.7381369935558476e-07,3415134.0
1.2,0.0006852518560268811,3.7080586988581977e-07,3415130.0
1.22,0.0006798241278121184,3.678690141337295e-07,3415126.0
1.24,0.0006745189833655132,3.64998487975009e-07,3415122.0
1.26,0.0006693425833223703,3.621976251964691e-07,3415118.0
1.28,0.0006642969482665868,3.5946751930845195e-07,3415114.0
1.3,0.0006593688713682262,3.5680102388854934e-07,3415110.0
1.32,0.0006545554639613772,3.5419657591806894e-07,3415106.0
1.34,0.0006498645309292841,3.51658398928925e-07,3415102.0
1.37,0.0006430510284043259,3.479717432848261e-07,3415096.0
1.39,0.0006386361749652277,3.4558295291601067e-07,3415092.0
1.41,0.0006342947356700821,3.4323388611082325e-07,3415088.0
1.43,0.0006300375074465215,3.4093038544946733e-07,3415084.0
1.46,0.0006238216231372942,3.3756709837778033e-07,3415078.0
1.48,0.0006197910590889638,3.3538624533868763e-07,3415074.0
1.51,0.0006139038760180682,3.3220081804591403e-07,3415068.0
1.53,0.0006100674582749023,3.3012501681111005e-07,3415064.0
1.56,0.000604452138770848,3.2708669354368463e-07,3415058.0
1.58,0.0006008145387023677,3.2511847238430674e-07,3415054.0
1.61,0.0005955060268092541,3.2224616306650005e-07,3415048.0
1.63,0.0005920422484697435,3.203719963943097e-07,3415044.0
1.66,0.0005869679659113145,3.176264274021687e-07,3415038.0
1.69,0.0005820618843076818,3.1497187237863525e-07,3415032.0
1.71,0.0005788742504912984,3.1324712757356517e-07,3415028.0
1.74,0.0005742178595168911,3.1072768041576086e-07,3415022.0
1.77,0.0005696417853381728,3.082516908611613e-07,3415016.0
1.8,0.0005651725038846502,3.0583348602314584e-07,3415010.0
1.83,0.0005608191391096888,3.034780033304849e-07,3415004.0
1.86,0.0005565739155707196,3.011810353926064e-07,3414998.0
1.89,0.0005524526531052524,2.9895114302222644e-07,3414992.0
1.92,0.0005484175266120293,2.967678579141065e-07,3414986.0
1.95,0.0005444776957033356,2.9463613678121283e-07,3414980.0
1.98,0.000540635624709502,2.925573132969e-07,3414974.0
2.01,0.000536876606998752,2.9052342930803066e-07,3414968.0
2.05,0.0005320022545499646,2.8788607738575784e-07,3414960.0
2.08,0.0005284255652988713,2.8595084987794054e-07,3414954.0
2.11,0.0005249315886419954,2.840603778897846e-07,3414948.0
2.15,0.0005203745299398353,2.815947105482888e-07,3414940.0
