Random Walk,Bias Instability
0.0007886859563565675,0.0001933820838463419
Tau,AllanDev,AllanDevError,AllanDevN
0.01,0.006665833384886682,3.606913286364849e-06,3415368.0
0.02,0.00511917477980714,2.770009970043941e-06,3415366.0
0.03,0.004296263864452421,2.3247296165533427e-06,3415364.0
0.04,0.0037722845144490596,2.041202397515726e-06,3415362.0
0.05,0.0034036170544050883,1.8417150931351844e-06,3415360.0
0.06,0.003125447273503355,1.691196456528908e-06,3415358.0
0.07,0.002906021938586004,1.5724646791465893e-06,3415356.0
0.08,0.0027261938840736797,1.4751591477885252e-06,3415354.0
0.09,0.0025757940337149975,1.3937773341758852e-06,3415352.0
0.1,0.0024482925514585367,1.3247859184849759e-06,3415350.0
0.11,0.00233795243089916,1.2650805817999573e-06,3415348.0
0.12,0.002241833663104884,1.2130704747177799e-06,3415346.0
0.13,0.0021565183567867803,1.166906160709239e-06,3415344.0
0.14,0.002080119267790038,1.1255664444780134e-06,3415342.0
0.15,0.0020113905289675742,1.0883771830208274e-06,3415340.0
0.16,0.0019491173714783338,1.0546810600560445e-06,3415338.0
0.17,0.001892630459585943,1.0241158962914062e-06,3415336.0
0.18,0.0018404778463809767,9.95896035375853e-07,3415334.0
0.19,0.00179247616600719,9.699222587333284e-07,3415332.0
0.2,0.001748176990872691,9.459519207421143e-07,3415330.0
0.21,0.0017071862327633646,9.237717789572293e-07,3415328.0
0.22,0.0016690967335111983,9.031615184279328e-07,3415326.0
0.23,0.0016332034557962074,8.8373963911981e-07,3415324.0
0.24,0.0015995001530498501,8.655027620068202e-07,3415322.0
0.25,0.0015679475998549577,8.48429662925987e-07,3415320.0
0.26,0.0015382398594090151,8.323547978684288e-07,3415318.0
0.27,0.001510252279870131,8.172107175091164e-07,3415316.0
0.28,0.0014836385112547046,8.028100096054187e-07,3415314.0
0.29,0.0014585362908886707,7.892272057256861e-07,3415312.0
0.3,0.001434808837368744,7.763882929097198e-07,3415310.0
0.31,0.0014122492446274981,7.6418131299711e-07,3415308.0
0.32,0.0013908005697208239,7.525754541727452e-07,3415306.0
0.33,0.0013702224892255565,7.414406756300146e-07,3415304.0
0.34,0.001350509064325892,7.307737642309523e-07,3415302.0
0.35,0.0013316755538224166,7.205829770763232e-07,3415300.0
0.36,0.0013136821366017638,7.108467669748467e-07,3415298.0
0.37,0.0012962885310066163,7.014351154388167e-07,3415296.0
0.38,0.0012794175666603692,6.923062650531069e-07,3415294.0
0.39,0.0012632043636762258,6.835333309980575e-07,3415292.0
0.4,0.0012476655532871071,6.751253129261511e-07,3415290.0
0.41,0.0012327767959698249,6.670690407750673e-07,3415288.0
0.42,0.0012184442968585767,6.593137614086417e-07,3415286.0
0.43,0.001204483633137127,6.51759681824903e-07,3415284.0
0.44,0.001191068239262998,6.445006495695643e-07,3415282.0
0.45,0.0011781564226634935,6.375141045671583e-07,3415280.0
0.46,0.0011656940363826323,6.307707475025804e-07,3415278.0
0.47,0.0011536399711247435,6.242483338597466e-07,3415276.0
0.48,0.0011419419037252906,6.179185511366884e-07,3415274.0
0.49,0.0011305790910936652,6.117701751625596e-07,3415272.0
0.5,0.0011195234401853227,6.057880046022264e-07,3415270.0
0.51,0.0011088979032577474,6.000385706110915e-07,3415268.0
0.52,0.001098591540390439,5.944618423928863e-07,3415266.0
0.53,0.0010884983821506957,5.89000478675929e-07,3415264.0
0.54,0.0010786957572638859,5.836963231419787e-07,3415262.0
0.55,0.0010691738938195011,5.785440882195338e-07,3415260.0
0.56,0.0010599099021108963,5.73531388116408e-07,3415258.0
